canonical,aliases
acai berry,"euterpe oleracea"
acerola,"malpighia emarginata,barbados cherry"
aconite,"aconitum napellus,aconite monkshood"
acorus,"acorus calamus,sweet flag"
agropyron,"agropyron repens,couch grass"
alchemilla,"alchemilla vulgaris,lady's mantle"
aloe vera,"aloe barbadensis miller,aloe barbadensis"
allium cepa,"onion"
amla,"emblica officinalis,phyllanthus emblica,indian gooseberry"
angelica archangelica,"wild angelica"
angelica root,"angelica sinensis,dong quai"
anemone,"anemone pulsatilla,pulsatilla"
anise,"pimpinella anisum"
andrographis,"andrographis paniculata"
artemisia absinthium,"wormwood,absinthe"
ashitaba,"angelica keiskei"
ashwagandha,"withania somnifera, withania"
avena,"avena sativa,oat straw"
baical skullcap,"scutellaria baicalensis,baicalin"
bamboo leaf,"bambusa vulgaris"
barberry,"berberis vulgaris"
bay leaf,"laurus nobilis"
berberine,"coptis chinensis,berberis"
bergamot,"bergamot herb,monarda didyma,monarda fistulosa,bee balm,oswego tea,mountain mint,monarda"
bergamot orange,"bergamot orange,bergamot citrus, citrus bergamia"
bilberry,"vaccinium myrtillus"
bitter melon,"momordica charantia"
birch leaf,"betula pendula"
black cohosh,"actaea racemosa,cimicifuga racemosa"
black cumin,"nigella sativa,black seed,thymoquinone"
black pepper,"piper nigrum,piperine"
black seed oil,"nigella sativa oil"
blue cohosh,"caulophyllum thalictroides"
blueberry,"vaccinium corymbosum"
borago,"borago officinalis,borage"
burdock,"arctium lappa"
camu camu,"myrciaria dubia"
cannabidiol,"cannabis sativa,cannabis,cbd"
cardamom,"elettaria cardamomum"
caraway,"carum carvi"
cassia cinnamon,"cinnamomum cassia"
cat's claw,"uncaria tomentosa"
catuaba,"erythroxylum catuaba"
cayenne pepper,"capsicum annuum,capsicum annum,chili pepper"
cedar leaf,"thuja occidentalis,white cedar"
ceanothus,"ceanothus americanus,new jersey tea"
celery seed,"apium graveolens"
centaury,"centaurea maritima,cineraria maritima"
chaga,"inonotus obliquus"
chaga extract,"inonotus obliquus extract"
chamomile,"matricaria chamomilla,matricaria recutita"
chaste tree,"vitex agnus-castus,vitex"
chelidonium,"chelidonium majus,greater celandine"
chicory,"Cichorium intybus"
chinese clubmoss,"corydalis yanhusuo,corydalis"
chionanthus,"chionanthus virginicus,fringe tree"
chlorella,"chlorella vulgaris"
cinnamon,"cinnamomum verum,cinnamomum zeylanicum"
citrus peel,"citrus sinensis peel,citrus limon peel,citrus reticulata peel,orange peel,lemon peel,tangerine peel"
clary sage,"salvia sclarea"
clove,"syzygium aromaticum"
coconut oil,"cocos nucifera"
coffea,"coffea"
cohosh (blue),"caulophyllum thalictroides,blue cohosh"
coleus forskohlii,"plectranthus barbatus"
commiphora wightii,"commiphora mukul,balsamodendrum mukul,guggul,guggulu,indian bdellium,mukul myrrh"
cordyceps,"cordyceps sinensis"
cordyceps extract,"cordyceps sinensis extract"
cordyceps militaris,"cordyceps militaris extract"
cranberry,"vaccinium macrocarpon"
cranberry leaf,"vaccinium macrocarpon leaf"
crataegus oxyacantha,"hawthorn"
dandelion,"taraxacum officinale"
damiana,"turnera diffusa"
datura,"datura stramonium,thorn apple"
devil's claw,"harpagophytum procumbens"
digitalis,"digitalis purpurea,foxglove"
dioscorea,"dioscorea villosa,wild yam"
dryopteris filix-mas,"aspidium filix-mas,polypodium filix-mas,male fern,common male fern,male shield fern"
echinacea,"echinacea purpurea"
echinacea angustifolia,"echinacea angustifolia"
elderberry,"sambucus nigra"
elderflower,"sambucus nigra flower"
elder root,"sambucus nigra root"
elecampane,"inula helenium"
eleutherococcus,"eleutherococcus senticosus,siberian ginseng"
embelia ribes,"embelia tseriam-cottam,embelia tseriam cottam,false black pepper,vidanga,baibidang"
ephedra,"ephedra sinica,ma huang"
equisetum,"equisetum arvense,horsetail"
eschscholzia,"eschscholzia californica,california poppy"
eucalyptus,"eucalyptus globulus"
eupatorium,"eupatorium perfoliatum,boneset"
euphrasia,"euphrasia officinalis,eyebright"
evening primrose,"oenothera biennis"
fennel,"foeniculum vulgare"
fenugreek,"trigonella foenum-graecum"
filipendula,"filipendula ulmaria,meadowsweet"
flaxseed,"linum usitatissimum,linseed"
frankincense,"boswellia serrata"
fucus,"fucus vesiculosus,bladderwrack"
fumaria,"fumaria officinalis,fumitory"
galium,"galium aparine,cleavers"
ganoderma,"ganoderma lucidum,reishi mushroom"
gaultheria,"gaultheria procumbens,wintergreen"
gelsemium,"gelsemium sempervirens,yellow jasmine"
gentian,"gentiana lutea,gentian root"
geranium,"geranium maculatum,cranesbill"
ginger,"zingiber officinale"
ginger lily,"hedychium spicatum"
ginkgo biloba,"ginkgo,ginkgo leaf,gingko"
ginseng,"panax ginseng,panax,ginsenosides"
globe artichoke,"cynara scolymus,artichoke"
goji berry,"lycium barbarum"
gotu kola,"centella asiatica,hydrocotyle asiatica"
grape seed,"vitis vinifera"
grapefruit seed,"citrus paradisi seed"
green coffee,"coffea arabica,chlorogenic acid"
green tea,"camellia sinensis,egcg,camellia sinensis thea sinensis"
guarana,"paullinia cupana"
guarana seed,"paullinia cupana seed"
guava leaf,"psidium guajava"
guduchi,"tinospora cordifolia"
guggul,"commiphora mukul"
hamamelis,"hamamelis virginiana,witch hazel"
hawthorn,"crataegus monogyna,crataegus oxyacantha"
hawthorn berry,"crataegus monogyna berry"
hibiscus,"hibiscus sabdariffa,roselle"
holy basil,"ocimum sanctum,tulsi"
holy basil extract,"ocimum sanctum extract,tulsi extract"
holy lotus,"nelumbo nucifera,lotus seed"
holy mushroom,"pleurotus ostreatus,oyster mushroom"
holy thistle,"cnicus benedictus"
horseradish,"armoracia rusticana"
horse chestnut,"aesculus hippocastanum"
humulus,"humulus lupulus,hops"
hydrangea,"hydrangea arborescens"
hydrastis,"hydrastis canadensis,goldenseal"
hyoscyamus,"hyoscyamus niger,henbane"
hyssop,"hyssopus officinalis"
kava,"piper methysticum"
kudzu,"pueraria lobata"
lavender,"lavandula angustifolia,lavendula officinalis"
lemon balm,"melissa officinalis"
lemon peel,"citrus limon peel"
lemongrass,"cymbopogon citratus"
leonurus,"leonurus cardiaca,motherwort"
leptandra,"leptandra virginica,black root"
licorice,"glycyrrhiza glabra"
licorice leaf,"glycyrrhiza glabra leaf"
licorice root extract,"glycyrrhiza glabra extract"
lion's mane,"hericium erinaceus"
lion's mane extract,"hericium erinaceus extract"
lithospermum,"lithospermum officinale,gromwell"
lobelia,"lobelia inflata"
lomatium,"lomatium dissectum,desert parsley"
lotus leaf,"nelumbo nucifera leaf"
maca,"lepidium meyenii"
magnolia bark,"magnolia officinalis,houpu"
maitake,"grifola frondosa"
maitake extract,"grifola frondosa extract"
mallow,"malva sylvestris"
mallow root,"althaea officinalis,marshmallow root"
mangiferin mango leaf,"mangifera indica,mango leaf,mango leaf"
mangosteen,"garcinia mangostana"
marshmallow (plant),"althaea officinalis,marshmallow"
marrubium,"marrubium vulgare,white horehound"
mastic gum,"pistacia lentiscus"
mate (yerba),"ilex paraguariensis,yerba mate,yerba mate leaf"
medicago,"medicago sativa,alfalfa"
melaleuca,"melaleuca alternifolia,tea tree,tea tree oil,melaleuca oil"
melilotus,"melilotus officinalis,sweet clover"
milk thistle,"silybum marianum,silymarin,carduus marianus"
mint (peppermint),"mentha piperita,peppermint"
mint (spearmint),"mentha spicata,spearmint"
mitchella,"mitchella repens,partridge berry"
moringa,"moringa oleifera"
mugwort,"artemisia vulgaris"
muira puama,"ptychopetalum olacoides"
mustard seed,"brassica nigra"
